"","Date","^GSPC","GOOG","BIDU","CHKP","ADP","SOHU","NATI","SA","EEQ","OII","TOT","OMN","KOP","LCI","VIVO","HALO","WST","WCG","ABT","PNC","MA","DB","IX","BAF","VLT","F","NKE","NAV","MAT","WWW","KS"
"1","2010-01-01",1073.869995,263.257751,41.171001,31.98,28.327961,50.349998,16.315056,24.07,15.010764,24.127674,36.419163,5.66,24.385504,5.85,14.548618,5.42,15.605617,31.18,18.334883,46.645458,21.466288,50.390327,32.909122,8.387094,7.436378,8.644608,12.05785,36.990002,14.155222,11.545385,3.923146
"2","2010-02-01",1104.48999,261.697906,51.868,32.599998,28.897446,51.209999,17.552979,24.35,15.007526,26.663946,35.198654,6.12,24.280699,4.66,16.240988,5.47,16.871199,26.700001,19.087406,45.320038,19.386829,52.481316,33.939735,8.697179,7.625924,9.362334,12.786052,39.16,15.784657,12.034261,3.889179
"3","2010-03-01",1169.430054,281.727631,59.700001,35.07,30.883665,54.599998,18.63426,24.360001,15.32575,28.004864,36.691093,7.85,24.937464,4.25,14.929106,7.99,18.170647,29.799999,18.524769,50.327496,21.947033,63.531315,38.854965,8.82189,8.162511,10.024238,13.901991,44.73,16.323006,12.728293,5.039799
"4","2010-04-01",1186.689941,261.151459,68.896004,35.619999,30.389217,48.150002,19.32152,33.939999,15.439831,28.891449,34.389202,7.65,24.805378,4.69,14.650602,8.52,18.127337,28.629999,17.990265,56.65847,21.432053,56.762466,40.677048,9.081657,8.926759,10.3831,14.590801,48.34,16.523998,13.461782,5.477119
"5","2010-05-01",1089.410034,241.245926,73.209999,30.67,28.644493,44.200001,17.986111,34.610001,14.830992,20.409281,29.488209,8.03,23.854372,4.99,12.938338,7.33,17.17086,27.26,17.020687,52.981319,17.535721,49.233261,34.014664,9.153504,8.449557,9.35436,13.91229,54.18,15.547776,12.621793,4.69164
"6","2010-06-01",1030.709961,221.037369,68.080002,29.48,28.210047,41.09,17.863194,30.950001,15.608351,19.804981,28.945372,7.81,19.926159,4.57,12.583055,7.04,15.92286,23.74,16.741545,47.704304,17.34104,47.155903,32.048851,9.466809,8.676192,8.038528,12.983908,49.200001,15.188868,11.091347,4.729853
"7","2010-07-01",1101.599976,240.858444,81.410004,34.02,29.192949,47.02,17.930641,25.620001,16.480579,21.82518,32.829411,7.8,22.018059,4.6,14.218851,7.17,15.857409,25.790001,17.564659,50.144394,18.254459,58.978466,34.824112,9.673404,9.11071,10.183731,14.36703,51.709999,15.188868,12.679035,4.857227
"8","2010-08-01",1049.329956,223.555984,78.43,34.869999,27.311357,48.470001,16.205025,30.040001,16.241863,22.058954,30.248705,6.1,17.727903,4.06,13.661246,7.64,14.80479,24.809999,18.002951,43.12175,17.369942,52.630558,33.062893,10.016213,8.522058,9.00347,13.656873,41.880001,15.066836,11.206688,4.835999
"9","2010-09-01",1141.199951,261.196167,102.620003,36.93,29.730555,57.619999,18.469889,28.68,16.962845,23.757153,33.458366,7.19,24.04615,4.58,16.344179,7.71,15.108632,28.959999,19.06109,43.89978,19.615183,46.123108,34.14809,9.902846,9.001939,9.761067,15.635167,43.639999,16.839828,12.865298,5.154436
"10","2010-10-01",1183.26001,304.867126,110.010002,42.75,31.780844,74.5,19.663137,27.33,18.349512,27.290297,35.325821,7.98,24.950008,5.12,17.106449,7.33,15.716327,27.780001,18.725405,45.582714,21.021513,48.600136,40.321251,9.787474,9.583112,11.268295,16.130318,48.18,16.746519,13.011647,5.434661
